mã sự kiện,tiêu đề sự kiện,tiêu đề sự kiện (tiếng Anh),ngày công bố,ngày thực hiện,liên kết nguồn,mã loại sự kiện,tỷ lệ,giá trị,ngày chốt quyền,ngày không hưởng quyền,tên loại sự kiện,tên loại sự kiện (tiếng Anh),mã chứng khoán
18237687,"CMG - Niêm yết bổ sung 594,600 cổ phiếu","CMG- Lists additional 594,600 shares",2023-01-31,2023-01-27T00:00:00,http://fiinpro.com/News/Detail/10673671?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,CMG
30303721,CMG - Trả cổ tức Cả năm năm 2022 bằng tiền 600 đồng/cổ phiếu,CMG - Pay cash dividend 2022 - Year at VND 600/share,2023-11-15,2023-12-28T00:00:00,http://fiinpro.com/News/Detail/10987195?lang=vi-vn,DIV,0.06,600,2023-12-06T00:00:00,2023-12-05,Trả cổ tức bằng tiền mặt,Cash Dividend,CMG
20124,CMG - Niêm yết bổ sung 25.000.000 cổ phiếu,"CMG - Lists 25,000,000 additional shares",2019-10-03,2024-08-23T00:00:00,http://fiinpro.com/News/Detail/3814981?lang=vi-VN,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,CMG
48341707,CMG - Giảm niêm yết 41.800 cổ phiếu,"CMG - Decreases 41,800 listed shares",2024-12-11,2024-12-12T00:00:00,https://www.hsx.vn/Modules/Cms/Web/DownloadFile/f9850626-e829-4458-beeb-c284922fbd14?ridx=1262834195,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,CMG
34327201,"CMG - Niêm yết bổ sung 39,449,064 cổ phiếu","CMG- Lists additional 39,449,064 shares",2024-01-31,2024-01-26T00:00:00,http://fiinpro.com/News/Detail/11069603?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,CMG
55008701,CMG - Niêm yết bổ sung 20.942.111 cổ phiếu,"CMG- Lists additional 20,942,111 shares",2025-04-23,2025-04-21T00:00:00,http://fiinpro.com/News/Detail/11551484?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,CMG
31252812,"CMG - Giảm niêm yết 18,100 cổ phiếu","CMG - Decreases 18,100 listed shares",2023-12-05,2023-12-06T00:00:00,https://www.hsx.vn/Modules/Cms/Web/DownloadFile/d0328f5d-17a7-4ffb-bb44-9336fe8445d4?ridx=439691734,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,CMG
48554531,CTD - Trả cổ tức Đợt 1 năm 2024 bằng tiền 1000 đồng/cổ phiếu,CTD - Pay cash dividend 2024 - Interim 1 at VND 1000/share,2024-12-13,2025-01-14T00:00:00,http://fiinpro.com/News/Detail/11406516?lang=vi-vn,DIV,0.1,1000,2024-12-25T00:00:00,2024-12-24,Trả cổ tức bằng tiền mặt,Cash Dividend,CTD
30245682,"CTD - Niêm yết bổ sung 24,802,461 cổ phiếu","CTD- Lists additional 24,802,461 shares",2023-11-03,2023-10-30T00:00:00,http://fiinpro.com/News/Detail/10977182?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,CTD
27992400,"CTD - Phát hành cổ phiếu thưởng tỷ lệ 33,33333%",CTD - Issues bonus shares at 33.33333%,2023-09-22,2023-09-28T00:00:00,http://fiinpro.com/News/Detail/10935819?lang=vi-vn,ISS,0.33333333,0,2023-09-29T00:00:00,2023-09-28,Phát hành cổ phiếu,Share Issue,CTD
32680669,"CTG - Niêm yết bổ sung 564,241,139 cổ phiếu","CTG- Lists additional 564,241,139 shares",2024-01-05,2024-01-04T00:00:00,http://fiinpro.com/News/Detail/11041104?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,CTG
30717895,CTG - Phát hành cổ phiếu trả cổ tức tỷ lệ 11.7415%,CTG - Issues dividend shares at 11.7415%,2023-11-24,2023-11-30T00:00:00,http://fiinpro.com/News/Detail/11003160?lang=vi-vn,ISS,0.117415,0,2023-12-01T00:00:00,2023-11-30,Phát hành cổ phiếu,Share Issue,CTG
24124956,CTR - Trả cổ tức Cả năm năm 2022 bằng tiền 1000 đồng/cổ phiếu,CTR - Pay cash dividend 2022 - Year at VND 1000/share,2023-06-22,2023-07-31T00:00:00,http://fiinpro.com/News/Detail/10822740?lang=vi-vn,DIV,0.1,1000,2023-06-30T00:00:00,2023-06-29,Trả cổ tức bằng tiền mặt,Cash Dividend,CTR
